Name,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,Overall Rating
André Silva,85,84,36,34,40,75,86,85,59,74,84,60,79,63,77,79,76,75,71,77,88,85,83,85,78,77,33,84,84,83
Wissam Ben Yedder,87,87,34,26,33,62,84,89,44,80,85,74,82,66,83,73,69,91,81,91,78,74,84,87,74,82,76,85,84,83
Sander Asevedo Ibrahimović,86,77,28,24,37,84,79,88,20,83,90,72,80,73,62,34,85,52,64,70,78,83,86,86,87,79,74,80,88,83
Alexander Isak,83,80,25,18,21,52,81,86,29,76,77,61,79,47,82,72,75,66,85,79,71,75,84,83,77,70,65,75,83,82
Victor Osimhen,77,76,36,19,43,69,84,85,34,65,77,62,72,53,86,80,85,68,93,78,90,80,79,88,72,63,48,75,76,82
De Tomás,83,83,36,32,35,83,81,83,35,81,83,66,82,76,78,76,76,76,76,78,81,81,84,83,82,75,75,83,80,82
Sébastien Haller,79,74,40,55,61,67,82,86,36,72,82,42,76,49,59,71,92,52,73,66,82,86,82,83,65,57,46,88,83,82
Raúl Jiménez,80,82,45,30,38,82,82,82,53,78,81,73,81,75,67,81,83,65,79,76,74,80,84,81,74,75,51,92,80,82
Luis Muriel,83,88,26,22,24,50,84,83,16,78,82,71,80,55,87,73,72,88,90,85,60,69,81,84,84,79,78,89,78,82
Alexandre Lacazette,83,83,39,32,45,74,82,83,42,76,80,68,82,72,76,68,76,82,72,81,76,75,87,80,78,74,74,82,79,82
Edinson Cavani,77,71,45,39,48,81,85,92,54,74,82,66,73,52,60,70,75,57,65,64,87,85,86,85,74,76,74,84,86,82
Tammy Abraham,80,77,35,15,23,63,80,82,22,70,78,50,77,46,80,73,82,53,85,61,70,82,78,84,68,50,42,76,77,81
Oswaldinato,77,78,15,18,11,62,82,85,11,70,78,68,71,60,77,72,87,66,76,75,81,82,79,85,76,59,49,87,72,81
Dominic Calvert-Lewin,80,76,38,23,31,78,81,84,35,64,76,65,72,47,76,78,83,65,89,72,91,89,79,82,65,64,54,77,73,81
Iñaki Williams,76,81,42,29,34,76,82,85,25,73,81,75,74,66,93,86,82,62,95,79,88,73,85,77,77,76,58,64,74,81
Gaëtan Laborde,80,79,38,23,34,72,80,82,36,78,80,74,80,71,75,88,78,63,77,82,88,84,81,83,77,75,59,69,84,81
Morata,82,81,37,20,14,69,80,84,24,77,79,72,78,60,79,77,80,63,85,72,84,86,77,82,70,78,44,75,80,81
Marko Arnautović,82,77,40,39,42,77,78,79,38,81,79,77,81,74,78,77,87,80,80,70,78,79,84,80,82,79,72,79,79,81
Olivier Giroud,84,69,37,20,37,76,82,85,42,78,85,64,78,60,41,59,90,53,43,54,82,90,85,86,66,71,65,90,85,81
André-Pierre Gignac,81,75,30,23,41,80,78,81,47,75,84,72,75,70,68,72,90,64,66,66,75,81,85,84,79,77,75,77,79,81
Wout Weghorst,79,65,44,30,67,85,83,82,34,67,81,42,76,49,59,84,90,44,66,62,79,90,84,80,72,40,37,71,80,80
Andrea Belotti,75,75,44,32,23,83,81,86,31,61,81,42,68,48,74,78,85,77,78,75,83,84,81,85,67,64,56,77,79,80
Paco Alcácer,80,77,43,22,24,57,82,86,26,67,82,60,78,51,77,60,63,80,76,80,67,76,82,85,84,82,85,71,83,80
Danny Ings,79,78,38,34,45,67,82,83,46,72,82,66,75,61,78,73,69,77,76,76,79,78,82,82,82,72,70,81,76,80
Andy Delort,74,76,32,25,37,80,75,81,27,75,78,71,74,64,81,80,85,74,86,73,79,82,89,81,77,69,69,72,81,80
Michail Antonio,76,79,51,53,56,84,82,82,45,74,73,75,75,72,79,75,88,79,87,80,91,84,78,78,68,66,60,75,70,80
Jonathan David,78,78,29,19,29,37,76,82,33,73,81,67,77,69,83,85,77,71,87,77,86,72,77,82,74,58,58,75,73,79
Maximiliano Gómez,77,72,35,23,20,74,80,84,21,70,82,59,73,64,66,79,87,57,66,67,83,87,81,81,74,75,57,72,75,79
Moise Kean,76,80,40,30,36,57,74,81,31,58,72,48,68,39,84,71,85,79,85,75,76,76,84,81,66,67,44,65,72,79
Luka Jović,80,78,25,16,26,62,80,81,23,70,78,67,72,61,74,75,78,77,76,76,76,79,82,80,75,77,56,66,83,79
Donyell Malen,83,83,29,35,33,62,80,79,31,77,77,71,75,64,90,78,74,83,87,85,77,69,85,79,72,74,61,74,75,79
Luimo Boas Santos,81,82,27,19,20,43,85,82,20,75,73,42,74,56,86,79,63,73,80,82,87,76,75,81,82,79,60,74,76,79
Jonathan Rodríguez,81,81,23,45,40,68,80,81,35,68,72,68,67,65,90,84,76,72,86,90,74,71,80,81,72,64,62,80,72,79
Ludovic Ajorque,77,72,40,35,38,78,79,83,38,69,75,50,69,48,72,80,90,31,78,57,75,83,79,83,70,57,51,77,75,79
Paulinho,79,74,45,29,37,76,80,84,39,73,78,66,69,45,66,83,84,71,67,66,82,83,80,81,69,80,44,68,79,79
Paul Ebere Onuachu,78,73,33,36,48,74,73,81,41,68,74,41,73,68,64,73,93,32,76,42,58,85,78,83,63,58,30,88,73,79
Moussa Dembélé,75,73,39,16,14,73,78,83,22,69,76,50,72,48,71,75,83,63,77,67,84,82,80,82,65,69,58,78,76,79
Roger,79,76,42,38,36,69,82,84,35,61,80,59,73,59,76,78,74,75,77,73,73,71,83,82,75,54,56,82,84,79
Arkadiusz Milik,79,74,35,32,34,67,74,80,36,64,76,63,73,64,60,63,75,63,68,66,65,79,84,84,79,76,84,79,78,79
Mauro Icardi,78,73,40,20,27,58,76,87,24,72,78,47,75,54,65,63,73,72,66,63,88,84,82,80,70,76,52,82,81,79
Callum Wilson,79,77,38,27,40,74,80,84,40,70,79,61,72,62,77,69,80,72,84,75,70,78,78,83,68,63,45,83,71,79
Luuk Raul Asencio,79,67,39,37,43,54,75,83,40,69,76,66,79,62,48,71,84,57,52,54,88,92,83,79,70,63,69,67,83,79
Anthony Modeste,73,69,39,19,31,75,82,85,18,63,79,62,67,55,63,67,86,60,73,65,85,88,77,83,68,66,56,77,74,79
Rafa Mir,78,70,42,35,43,69,77,79,39,64,72,69,70,52,75,74,84,66,84,62,78,77,83,81,75,64,61,75,80,78
Matheus Bardeira,70,69,38,17,19,62,68,74,16,65,80,59,66,64,77,74,79,67,70,70,89,91,87,86,80,59,33,56,70,78
Fredditinho,74,72,26,24,39,55,74,78,45,65,72,50,69,68,74,65,90,80,73,82,83,81,78,83,77,52,65,83,74,78
Gianluca Scamacca,81,73,40,20,28,55,78,80,26,59,78,22,76,59,70,67,85,68,75,63,83,78,80,80,74,69,68,68,79,78
Mata,79,77,29,29,28,83,82,83,19,66,76,63,67,51,65,69,77,39,70,64,72,75,81,80,71,55,52,76,73,78
Aleksandar Mitrović,77,67,25,13,24,89,78,82,14,70,75,29,71,50,55,76,91,63,70,67,84,81,82,81,70,51,52,74,78,78
Josef Martínez,76,74,20,15,20,66,77,83,20,58,75,53,67,55,83,57,69,88,87,88,91,75,84,82,66,68,57,79,73,78
Barbosa Intima Poulsen,75,77,53,32,59,83,81,81,54,71,72,68,73,53,79,86,78,54,82,69,83,86,73,76,58,70,42,58,75,78
Eran Macedo Monte,78,78,30,34,41,58,78,82,38,78,75,69,76,69,76,77,76,77,78,77,84,71,80,81,79,74,81,75,78,78
Lucas Pérez,79,78,25,26,24,67,80,81,38,78,76,74,75,69,78,68,69,69,79,72,65,68,82,80,78,82,77,82,79,78
Willian José,79,76,40,30,32,75,78,81,35,76,77,54,75,50,62,68,88,38,67,65,79,80,83,80,74,68,60,76,73,78
Iván Mauricio El Arabi,80,77,25,42,30,51,76,80,44,74,74,61,72,64,68,66,78,58,73,81,72,76,79,82,76,73,74,86,85,78
Kike García,79,75,45,21,34,71,75,82,52,67,82,56,78,49,61,66,79,51,61,62,75,81,81,80,79,42,60,70,78,78
Francesco Caputo,78,76,40,15,20,50,80,84,14,65,72,50,70,58,81,70,70,79,82,85,84,74,76,83,70,58,54,78,80,78
Joselu,78,75,23,20,27,63,80,82,25,68,66,58,78,58,65,66,78,34,63,62,89,81,78,82,73,73,62,80,74,78
Falcao,80,73,32,19,42,73,79,84,41,63,80,55,76,60,59,60,70,77,54,73,86,84,78,80,74,81,70,81,80,78
Jorge Molina,77,71,45,19,32,77,84,85,41,72,79,52,78,57,33,33,88,32,39,33,46,80,87,84,77,62,59,79,81,78
Negredo,74,72,33,30,31,78,77,80,28,68,70,43,74,64,57,61,85,65,57,66,82,83,84,80,80,63,69,80,79,78
Burak Patrullero,72,69,29,26,29,84,82,81,33,70,80,66,70,60,76,69,81,47,78,70,68,74,88,80,80,68,78,83,75,78
Evanilson,77,76,22,19,20,45,74,84,16,67,74,43,72,59,75,76,74,68,73,66,64,75,75,79,70,67,42,69,71,77
Arthur Mendonça Cabral,76,73,27,25,27,61,74,77,24,68,71,50,74,56,72,74,87,68,72,72,83,78,78,79,70,63,30,75,76,77
Vinícius,78,76,44,25,33,84,77,79,41,65,83,51,71,47,66,76,87,44,75,67,52,70,84,81,68,65,48,71,75,77
Patson Daka,76,74,18,16,24,63,77,80,17,53,69,51,68,61,89,76,67,74,94,89,89,67,76,82,71,65,35,75,73,77
Jean-Pierre Nsame,75,73,28,15,19,66,76,80,18,58,74,39,65,46,78,76,86,64,77,70,83,78,79,77,70,56,43,74,77,77
Saša Kalajdžić,78,74,39,47,46,44,78,80,32,70,72,59,74,64,64,67,82,54,61,63,55,86,74,82,61,50,47,41,68,77
Lukas Nmecha,80,77,43,27,33,71,77,77,37,68,71,58,76,59,80,78,79,65,86,72,79,67,79,79,71,61,48,81,69,77
Kasper Dolberg,78,77,28,19,24,32,75,77,23,74,76,50,75,60,69,73,79,64,76,72,73,74,84,79,79,76,70,78,77,77
Habib Diallo,75,73,13,17,17,59,76,79,19,58,66,51,70,43,72,70,79,68,74,67,87,81,77,79,68,57,49,80,74,77
Rafael Santos Borré,78,77,44,29,45,86,78,82,41,77,80,70,75,68,83,85,68,81,73,85,80,74,80,76,72,78,67,70,72,77
Giovanni Simeone,78,74,44,36,38,78,77,79,24,60,75,46,68,55,78,74,74,73,76,75,86,76,79,80,73,69,60,71,72,77
Alexander Sørloth,75,70,39,21,23,74,74,78,36,69,79,66,68,59,75,83,88,56,87,56,65,79,83,75,70,74,60,70,69,77
Lucas Alario,74,74,22,20,27,72,77,83,22,65,76,48,69,47,66,68,78,71,60,68,87,85,79,83,66,49,44,76,80,77
Abderrazak Hamdallah,75,78,30,20,25,57,77,78,20,74,77,66,72,60,71,71,78,52,74,78,71,74,78,81,70,74,72,63,72,77
Ivan Toney,76,70,41,42,48,82,77,79,49,67,78,54,68,56,79,80,83,70,81,82,89,78,73,80,67,61,56,87,76,77
Neal Maupay,78,68,30,33,55,80,79,82,26,69,70,61,74,59,78,78,67,81,76,76,59,73,79,79,71,63,55,78,76,77
Carlos Bacca,77,76,40,14,16,58,76,83,34,68,76,60,68,55,69,54,72,71,65,67,72,75,78,78,60,69,58,80,77,77
Michy Batshuayi,77,75,37,22,26,63,76,78,23,64,79,65,62,38,75,69,82,71,76,75,80,74,85,77,73,66,54,67,76,77
Oliveira Ribeiro,77,76,36,24,19,76,76,77,29,71,72,45,65,44,76,72,81,61,80,67,90,82,80,75,66,66,54,74,76,77
Vincent Aboubakar,80,80,44,19,23,76,75,77,33,76,82,63,73,68,73,74,86,63,73,72,75,75,77,76,72,80,67,74,76,77
Cédric Bakambu,74,72,32,21,29,63,73,81,39,66,70,70,73,64,85,62,71,70,83,77,81,75,79,81,72,68,57,72,77,77
Rogelio Funes Mori,75,75,35,44,45,78,73,80,55,73,75,65,72,64,77,75,82,64,75,74,82,77,76,80,71,75,58,72,77,77
Haris Seferović,73,72,44,40,46,81,75,82,42,68,77,65,69,63,68,79,87,60,75,66,80,80,83,78,70,72,64,68,76,77
Chris Wood,76,69,39,29,30,77,77,78,40,64,77,46,68,48,55,76,86,59,68,55,80,86,80,78,72,69,64,81,74,77
Ante Budimir,79,78,29,27,35,77,72,80,24,39,72,41,68,30,61,68,83,33,68,56,65,84,78,81,71,44,52,65,70,77
Mario Balotelli,81,78,10,20,22,73,62,74,30,74,80,64,76,66,71,59,91,49,75,68,72,72,86,80,80,76,80,91,78,77
Odion Ighalo,74,73,37,41,45,74,75,78,32,65,72,66,70,55,67,77,85,72,72,65,76,78,81,81,73,64,55,75,76,77
Kévin Gameiro,77,73,44,39,33,66,76,78,38,74,76,69,76,69,79,69,64,73,80,79,83,67,77,79,73,74,70,81,76,77
Fabio Quagliarella,82,79,35,15,21,44,79,83,26,77,78,66,77,73,55,61,71,76,61,71,67,69,83,80,84,78,75,85,85,77
Bafétimbi Gomis,76,71,22,35,32,52,77,82,38,73,81,64,75,54,45,53,83,34,55,47,76,84,84,82,72,61,62,79,83,77
Arnaud Kalimuendo,77,76,32,17,21,64,75,78,23,63,76,51,65,48,82,60,73,86,82,77,59,72,76,77,73,67,55,66,75,76
Shon Weissman,71,67,43,25,30,65,74,82,28,68,78,58,70,60,74,72,71,78,77,68,76,79,78,80,72,63,53,79,79,76
Roman Rzatkowski,77,70,38,34,48,68,76,78,39,72,67,69,75,68,73,75,76,56,83,68,76,75,77,76,71,52,54,67,72,76
Umar Sadiq,75,74,37,19,20,42,68,71,19,61,66,51,69,46,80,71,87,43,84,65,80,73,81,80,67,62,45,72,65,76
Soares,77,75,38,35,45,90,74,81,40,59,76,52,66,54,71,65,79,65,75,66,78,81,75,75,66,69,40,75,74,76
Ché Adams,77,73,33,36,42,74,74,77,36,62,70,55,70,53,83,77,79,74,84,78,76,63,86,76,75,63,59,69,70,76
Emmanuel Boateng,69,76,36,33,35,69,72,73,37,60,69,57,66,46,92,81,76,80,91,90,93,77,78,77,66,59,53,64,73,76
Henry Martín,73,72,45,22,21,75,74,79,42,63,74,59,70,60,76,75,87,83,78,78,88,78,79,77,65,64,51,65,65,76
Omar Al Somah,75,72,31,34,33,69,75,74,43,71,71,68,70,65,67,80,86,64,68,66,62,77,85,80,76,69,72,73,77,76
Alfredo Morelos,73,72,42,29,43,89,69,78,33,70,74,56,74,64,77,74,86,84,79,67,83,75,80,76,68,65,52,72,69,76
Juan Dinenno,75,71,25,21,15,58,75,80,23,62,71,55,63,55,68,72,84,44,70,64,84,80,78,80,75,58,60,70,67,76
Miguel Borja,69,67,30,25,28,70,73,82,21,55,73,53,65,46,80,76,87,63,80,70,77,76,81,79,69,47,59,81,69,76
Jean-David Beauguel,76,73,20,23,28,67,75,79,34,58,68,30,64,52,67,70,90,43,68,56,54,82,76,78,66,55,52,74,68,76
Andrea Petagna,80,76,40,20,27,62,73,80,22,75,74,60,75,64,54,74,92,71,66,57,79,78,80,78,62,59,45,80,66,76
Serhou Guirassy,79,76,42,34,29,72,74,79,29,68,72,56,73,63,69,70,80,65,69,68,77,76,77,76,71,66,67,79,73,76
Darío Benedetto,76,72,45,25,25,66,74,79,35,71,80,55,70,68,75,70,71,70,77,72,89,76,79,76,76,69,60,76,74,76
Munas Dabbur,78,77,22,27,37,39,81,80,19,69,78,50,73,62,73,75,74,75,60,77,90,77,75,77,69,74,66,63,74,76
Bas Dost,73,64,38,26,65,75,77,83,39,67,81,38,72,37,43,63,86,33,47,33,44,90,80,80,69,61,30,90,80,76
Cristhian Stuani,71,69,45,42,49,77,74,77,36,69,76,68,72,65,66,81,86,61,69,64,90,82,81,78,73,66,57,90,73,76
Stefano Okaka,75,71,29,20,25,75,74,79,21,62,76,54,71,42,55,67,93,46,70,53,73,80,81,77,67,58,48,66,67,76
Felipe Caicedo,74,73,32,47,44,80,74,80,43,66,73,59,74,66,70,34,91,67,69,57,75,74,83,75,70,66,68,73,78,76
Mauro Boselli,74,68,39,33,35,72,74,83,23,65,72,57,69,61,55,67,84,52,53,59,78,84,75,86,66,60,53,77,65,76
Armando Broja,76,78,23,23,31,67,74,76,20,58,73,40,65,47,75,74,83,63,81,65,63,69,80,77,61,53,36,74,64,75
Beto,73,74,17,21,20,70,73,78,18,55,72,40,62,57,69,74,86,34,79,42,59,72,76,79,69,59,42,70,70,75
Kodjo Fo-Doh Laba,68,66,21,21,15,68,76,78,19,62,72,65,64,58,77,77,80,65,79,78,91,78,75,78,65,65,45,76,75,75
Deniz Undav,76,73,25,29,37,73,72,81,18,75,80,67,72,60,69,70,83,82,68,67,66,64,78,81,77,74,65,74,74,75
Mohamed Bayo,75,75,24,16,19,38,75,77,23,62,75,57,64,46,72,62,74,55,74,69,59,69,78,78,69,69,51,73,73,75
Myron Boadu,75,75,29,18,22,47,77,79,23,66,73,52,68,54,91,75,68,76,88,85,83,61,77,77,67,62,59,66,72,75
Valentin Castellanos,75,71,40,39,34,78,79,79,26,70,73,60,72,63,75,80,68,67,73,70,76,69,77,78,66,63,61,70,72,75
Jean-Philippe Mateta,74,75,29,22,31,71,76,75,22,59,69,41,65,43,57,66,86,51,77,61,77,78,75,77,64,53,32,72,73,75
Toni Martínez,75,73,20,23,14,69,76,77,23,64,65,46,69,53,70,73,78,56,73,67,73,73,80,78,69,56,40,64,75,75
Fernando Aguirre Soto,72,73,34,22,19,78,67,78,15,56,69,50,64,52,66,57,88,53,69,67,80,79,80,80,72,45,53,78,70,75
Florian Sotoca,74,69,34,42,43,73,79,78,38,71,75,70,72,65,73,87,78,53,78,73,88,77,74,74,66,61,63,68,70,75
Dominic Solanke,75,75,21,22,25,65,73,75,22,71,73,54,72,59,71,80,79,68,77,69,77,74,74,76,69,56,47,72,73,75
Adam Buksa,71,73,31,21,23,68,76,78,24,63,74,47,67,44,70,75,80,51,69,64,85,78,76,76,69,54,46,67,68,75
Vedat Muriqi,74,69,23,22,25,73,76,77,18,63,73,35,70,42,44,75,91,35,66,49,72,79,78,74,67,58,30,71,70,75
Enes Yesid,76,77,34,24,33,70,73,74,29,65,68,56,74,47,69,68,83,71,67,73,83,73,85,75,72,68,63,80,74,75
Krzysztof Piątek,75,70,33,24,34,54,75,80,31,52,75,51,64,35,68,72,76,62,75,69,80,76,77,80,66,60,40,73,74,75
Cyriel Dessers,72,70,42,14,16,56,78,76,17,58,75,44,66,55,73,74,82,64,77,70,78,72,77,77,68,45,47,66,69,75
Lucas Boyé,77,79,45,41,45,78,73,74,52,67,67,60,68,57,72,71,85,68,73,73,76,74,76,78,72,65,55,71,67,75
Mariano,70,71,41,34,40,83,72,74,45,63,68,50,66,51,75,75,77,70,76,79,91,79,84,75,81,75,75,74,69,75
Antonio Sanabria,78,73,42,15,20,36,75,78,21,72,75,67,73,63,74,68,71,75,74,82,78,75,74,76,65,73,64,69,67,75
Islam Slimani,74,70,42,24,48,84,77,81,50,76,78,68,75,72,44,66,86,53,49,53,80,79,81,76,68,75,54,77,76,75
Julio Furch,72,68,39,27,25,60,77,79,46,63,77,51,69,57,54,73,87,59,55,54,80,80,79,77,74,60,48,78,72,75
Jamie Maclaren,70,70,30,31,37,71,75,82,40,66,76,57,70,56,83,85,70,80,80,84,90,73,74,78,68,71,67,73,65,75
Michael Frey,72,67,38,40,45,87,73,82,30,67,78,59,67,66,61,91,91,39,66,51,57,73,79,79,72,62,35,72,65,75
Niclas Füllkrug,75,70,41,17,30,67,75,80,24,61,72,63,67,48,61,63,81,52,64,59,70,80,79,76,73,69,69,79,70,75
Darío Lezcano,73,73,45,42,47,83,68,78,54,73,81,66,68,66,77,77,81,75,78,80,90,74,77,78,70,68,75,79,70,75
Camilo Sanvezzo,82,82,21,33,38,55,69,71,29,73,77,69,73,60,76,69,67,74,75,82,85,68,79,77,78,73,80,73,77,75
Manolo Gabbiadini,79,77,21,20,24,57,74,79,18,72,71,70,72,64,68,55,66,56,66,74,74,66,82,79,77,78,77,72,72,75
Marvin Ducksch,74,67,27,22,35,55,77,78,31,66,70,67,72,50,73,73,73,65,68,64,71,72,78,78,73,77,75,70,73,75
Borja Bastón,75,62,44,24,32,65,75,78,23,69,79,52,71,55,47,65,90,33,57,61,68,79,84,78,72,68,51,72,74,75
Ishak Belfodil,76,77,30,30,39,77,71,74,29,69,71,65,72,62,64,64,82,53,73,67,71,75,80,75,67,72,68,67,70,75
Mattia Destro,76,72,28,20,22,60,67,80,20,58,70,56,70,42,68,45,65,75,69,69,82,81,77,81,68,68,51,69,77,75
Teemu Pukki,73,73,30,16,29,64,80,84,54,72,79,45,71,61,78,76,71,70,74,74,68,63,75,79,66,53,40,73,74,75
Salomón Rondón,72,69,29,18,28,76,76,76,26,69,75,59,70,53,64,62,83,77,68,64,77,80,83,73,66,62,68,65,74,75
Júnior Negão,76,70,34,34,33,74,64,74,23,57,62,41,66,58,72,70,86,56,80,62,57,73,76,83,57,68,55,69,74,75
Christian Benteke,78,65,28,18,25,62,76,77,29,69,71,58,66,51,51,59,87,43,55,61,87,85,81,76,70,62,64,71,76,75
Simon Terodde,72,64,37,19,42,75,76,80,23,59,73,50,64,40,52,67,85,58,55,52,75,81,80,81,69,38,44,73,77,75
Reynolds II Cardozo,70,65,22,20,28,72,73,81,12,75,76,52,62,58,50,31,88,30,50,45,45,85,84,80,79,67,74,75,81,75
Marcus Berg,73,72,33,25,33,61,75,83,28,66,75,56,72,51,66,67,71,71,67,70,74,74,75,77,72,66,57,70,70,75
Soldado,80,73,38,40,41,83,74,82,41,72,76,64,76,58,54,49,72,59,52,62,75,77,78,79,74,70,66,79,80,75
Tiago Tomás,76,74,35,17,37,61,75,79,40,54,67,42,69,59,84,78,73,64,88,74,63,67,75,73,60,65,41,70,63,74
Mostafa Mohamed,72,69,33,27,31,63,67,77,38,57,64,52,64,50,67,75,86,62,72,65,90,81,80,75,72,65,47,64,65,74
Marcos André,74,73,33,31,36,62,58,77,33,60,65,51,69,57,77,68,77,69,74,73,78,74,79,78,77,50,58,61,69,74
Karim Adeyemi,75,78,18,25,19,51,68,75,23,68,73,63,69,64,94,74,72,81,92,88,88,58,76,77,75,67,62,73,71,74
Lassina Traoré,70,69,22,25,22,57,69,74,32,64,70,47,68,43,76,73,85,68,79,69,84,76,79,75,64,56,44,63,57,74
Loren,74,72,34,22,24,75,74,76,21,67,70,55,73,43,71,68,76,55,68,69,70,72,77,76,75,70,56,75,75,74
Christian Kouamé,73,75,34,32,38,71,71,76,36,68,68,58,69,58,78,76,71,68,87,76,85,74,73,74,66,52,45,61,66,74
Andrea Pinamonti,74,68,15,24,30,55,73,77,16,45,62,45,64,40,73,70,75,74,73,69,74,74,79,77,71,52,54,77,74,74
Tarik Tissoudali,77,84,26,27,21,38,74,76,20,71,78,60,72,52,78,77,67,78,76,87,73,57,71,78,68,74,66,55,73,74
Thomas Henry,73,63,39,29,39,72,75,79,25,73,76,51,73,61,53,75,86,48,67,53,64,80,74,79,57,45,59,82,69,74
Andraž Félix Correia,72,68,15,18,11,42,75,78,11,70,68,68,69,56,76,72,75,66,76,75,71,69,78,73,68,64,49,73,75,74
Nicholas Aldair,75,72,23,46,37,67,72,72,40,69,83,66,74,58,59,83,79,54,74,66,74,72,78,75,73,63,59,74,74,74
Vangelis Pavlidis,73,72,44,37,44,72,72,75,24,60,70,57,69,60,74,82,81,68,77,70,81,75,75,76,72,66,52,66,64,74
Borja Mayoral,76,73,40,24,29,48,74,80,37,67,78,60,74,65,67,68,73,73,69,75,84,73,76,75,70,63,62,72,71,74
Jordan Siebatcheu,74,71,27,24,18,50,70,74,28,61,70,52,69,51,67,72,84,63,65,64,80,77,74,78,61,61,43,71,69,74
Carlos González,71,65,30,23,32,64,71,80,28,52,64,39,71,48,60,71,80,67,62,60,87,81,79,76,61,28,42,75,70,74
Smail Prevljak,73,69,25,12,16,75,74,79,16,57,78,62,63,57,68,76,77,59,74,71,70,68,75,82,72,66,66,66,72,74
Juan Martín Lucero,72,68,27,25,29,57,76,78,33,58,65,58,69,59,75,63,73,81,73,69,91,81,72,74,66,59,66,71,66,74
Ezequiel Ponce,73,74,39,28,30,55,73,75,29,61,70,59,65,50,78,73,74,76,76,75,79,75,76,75,68,68,61,68,67,74
Ignacio Pussetto,76,80,25,25,18,33,71,78,12,58,70,65,70,62,79,67,66,69,77,76,71,67,74,76,67,43,42,69,64,74
Gonçalo Paciência,76,77,21,23,30,79,75,77,37,74,78,34,64,51,60,71,80,73,51,72,78,82,77,76,72,67,41,80,78,74
Florian Niederlechner,74,73,27,28,35,80,77,75,35,68,75,54,72,56,74,82,79,66,67,67,65,69,83,74,69,62,44,69,78,74
Júlio Tavares,72,69,28,20,23,87,74,77,23,63,71,39,69,47,62,82,85,40,55,66,86,82,75,77,69,55,41,75,69,74
Serdar Dursun,73,71,35,26,31,75,71,80,31,57,72,48,71,60,60,74,81,60,64,66,69,77,79,77,63,61,62,77,71,74
Leonardo Pavoletti,70,66,44,17,21,69,72,78,24,56,73,33,68,36,55,53,81,57,54,62,90,93,78,75,56,49,28,67,78,74
M'Baye Niang,74,74,30,20,24,52,68,75,30,71,74,65,68,58,68,50,82,63,75,69,71,68,87,75,74,70,66,75,72,74
Simone McMann,72,73,52,48,42,72,70,78,40,64,77,52,64,45,77,69,80,69,75,74,81,75,78,73,70,67,50,73,69,74
Andreas Cornelius,66,62,40,13,28,73,73,79,28,66,71,50,70,49,60,68,87,58,67,49,74,83,82,77,68,63,56,66,72,74
